cell_id,cycle_life,capacity_at_cycle_10,capacity_at_cycle_100,capacity_fade_10_to_100,internal_resistance_at_100
0,1009,1.0704191,1.0694544,0.0009647000000001515,0.015270543
1,1063,1.068262,1.0664777,0.001784299999999961,0.015059211
2,1267,1.0627875,1.0606135,0.0021739999999998982,0.01447712
3,1115,1.0651054,1.0635946,0.0015107999999999233,0.015062672
4,1048,1.0745391,1.0738586,0.0006804999999998618,0.015179508
5,828,1.0536922,1.0518515,0.0018407000000000284,0.015206923
6,667,1.0624539,1.04378,0.01867390000000002,0.013847317
7,1836,1.0702851,1.0684743,0.0018107999999998903,0.015500138
8,828,1.0679353,1.067026,0.0009093000000000018,0.015265453
9,1039,1.0727774,1.0724456,0.00033180000000010423,0.015873827
10,1078,1.0643069,1.0623909,0.0019160000000000288,0.015407138
11,817,1.0706047,1.0682998,0.002304900000000165,0.015558524
12,932,1.0765386,1.0755343,0.001004299999999958,0.016099032
13,816,1.0689164,1.067306,0.0016103999999999008,0.015105296
14,858,1.0763183,1.0763919,-7.359999999989597e-05,0.015591383
15,876,1.0709045,1.0693594,0.001545099999999966,0.015327176
16,1638,1.0635999,1.0625579,0.0010419999999999874,0.015333001
17,1315,1.0689212,1.0664585,0.002462699999999929,0.015362277
18,1146,1.0700043,1.0670015,0.003002799999999972,0.015060746
19,1155,1.0738823,1.0708553,0.003026999999999891,0.015513306
20,813,1.0675322,1.0664401,0.0010921000000001513,0.015333491
21,772,1.0686178,1.0538316,0.01478619999999986,0.014177526
22,1002,1.0585029,1.0569046,0.0015982999999999414,0.015729792
24,825,1.0499612,1.050084,-0.00012279999999997848,0.015600633
25,989,1.0642061,1.0643663,-0.00016020000000005474,0.015702758
26,1028,1.0749502,1.074435,0.0005151999999999379,0.015650999
27,850,1.0638406,1.0627574,0.0010832000000000619,0.014973907
28,541,1.0524576,1.0340093,0.018448300000000195,0.013605327
29,858,1.0698459,1.0696349,0.00021099999999996122,0.014796775
30,935,1.0717069,1.0710108,0.0006960999999998663,0.015618403
31,731,1.0708563,1.0698149,0.0010414000000000811,0.015953651
33,1284,1.0624503,1.0609198,0.0015305000000001012,0.015357213
34,1158,1.0640321,1.0615493,0.002482799999999896,0.015331933
35,1093,1.0652138,1.0632331,0.0019807000000000574,0.015414515
36,923,1.0600277,1.0577667,0.0022610000000000685,0.015179561
37,1390,1.0487504,1.0483961,0.0003543000000001406,0.014791232
38,1935,1.0723419,1.0710695,0.0012724000000001734,0.015872136
39,1156,1.0504172,1.0495038,0.0009133999999999531,0.01558543
40,796,1.0632297,1.0617574,0.001472299999999871,0.015327614
41,786,1.0537622,1.0541531,-0.0003908999999999718,0.018368578
42,1642,1.069122,1.0689646,0.00015739999999997423,0.015814589
43,1046,1.0726073,1.0724185,0.0001888000000001,0.015698643
44,940,1.0727483,1.0729284,-0.00018009999999990534,0.01561721
45,1801,1.0713308,1.0711251,0.00020569999999997535,0.015662471
