cell_id,cycle_life,dQdV_variance_10_100
0,1009,0.0018571950612528377
1,1063,0.00269760924226388
2,1267,0.00565797973472747
3,1115,0.38865756101810234
4,1048,0.012072078582760588
5,828,0.005871766277805983
6,667,0.32717082724420293
7,1836,0.3945904879829368
8,828,0.0037050285254697684
9,1039,0.04746906415492488
10,1078,0.04669020883445565
11,817,0.020375365077531054
12,932,0.011317744533771308
13,816,0.04542296089540756
14,858,0.006400388739881908
15,876,0.004717785645848129
16,1638,0.003402401059613327
17,1315,0.005815764204173005
18,1146,0.0022284953474989194
19,1155,1.3003038396564734
20,813,0.010258741915884004
21,772,0.01115627684220983
22,1002,0.004471423094065867
24,825,0.03174485570356973
25,989,0.0027860610698179143
26,1028,0.006172836160535527
27,850,0.002372291723054513
28,541,0.4595801722484736
29,858,0.0038080582525614032
30,935,0.0032885944398131943
31,731,0.007476148697957804
33,1284,0.009014851047646119
34,1158,0.006778028224431241
35,1093,0.04151086684240247
36,923,0.03646549187975566
37,1390,0.9697829511749092
38,1935,0.0034820193944994885
39,1156,0.0027367945275092475
40,796,0.002559088575928888
41,786,0.01463349061908955
42,1642,0.00734541441107657
43,1046,0.00590509052506455
44,940,0.01074707812289123
45,1801,0.0016410507188946814
