cell_id,cycle_life,Qdlin_variance_10_100
0,1009,5.687024898905241e-05
1,1063,5.181521321780508e-05
2,1267,1.6619555727408117e-05
3,1115,7.645259474220121e-05
4,1048,6.630317519564988e-05
5,828,7.683799523990656e-05
6,667,0.00029805183986089944
7,1836,3.2453221357996856e-05
8,828,8.094615840627263e-05
9,1039,0.00010416049784765705
10,1078,3.8783238947594476e-05
11,817,0.00013034033579521087
12,932,0.00011303424118898805
13,816,8.045138308284514e-05
14,858,0.00010007654534836023
15,876,9.984253014088351e-05
16,1638,2.020628622431914e-05
17,1315,3.633180045384266e-05
18,1146,5.571190370898626e-05
19,1155,6.730667325120848e-05
20,813,8.583320053473407e-05
21,772,0.00019754830798491912
22,1002,8.977958692912617e-05
24,825,6.994312062017459e-05
25,989,7.135743905511085e-05
26,1028,6.032434097872005e-05
27,850,7.410844302086189e-05
28,541,0.00035346149253269254
29,858,8.638212824469724e-05
30,935,7.939158148811134e-05
31,731,0.00014467616046037193
33,1284,4.0188487978171294e-05
34,1158,4.946983882423062e-05
35,1093,5.8229318902417414e-05
36,923,5.5788165335225655e-05
37,1390,7.96423654716803e-06
38,1935,4.5493249228224246e-05
39,1156,3.510467231268054e-05
40,796,5.068643250322407e-05
41,786,6.03240691683163e-05
42,1642,4.5061465820542114e-05
43,1046,4.822275074444368e-05
44,940,7.387618796699746e-05
45,1801,3.014041303195534e-05
